"sai_name";"sai_emu_nameshort";"sai_year";"sai_area_division";"sai_hty_code";"sai_sampling_objective";"sai_samplingstrategy";"sai_protocol";"sai_qal_id";"sai_comment"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";"2011-2016";"27.4.b";"F";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Eide_Eider_DCF_F_Y";"DE_Eide";"2011-2016";"27.4.b";"F";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Eide_Eider_QUAL_hg_F_Y";"DE_Eide";"2011";"27.4.b";"F";"DCF";"commercial fisheries";"Samples usually from commercial fisheries but can include samples from non-representative catches (i.e. qual series provide all avbailable quality data, DCF series provide all data considered representative for catches which may include all or parts of qual data).";"";"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Eide_Eider_QUAL_teq_F_S";"DE_Eide";"2011";"27.4.b";"F";"DCF";"commercial fisheries";"Samples usually from commercial fisheries but can include samples from non-representative catches (i.e. qual series provide all avbailable quality data, DCF series provide all data considered representative for catches which may include all or parts of qual data).";"";"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";"2011-2017";"27.4.b";"F";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";"2011-2017";"27.4.b";"F";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_T_S";"DE_Elbe";"2011";"27.4.b";"T";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_T_Y";"DE_Elbe";"2011";"27.4.b";"T";"DCF";"commercial fisheries";"sampling of commercial fisheries (gear may vary but usually comprises small/large fykes and/or stow nets); catches are considered non-seklective above 45cm.";"";"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_QUAL_cd_F_S";"DE_Elbe";"2011";"27.4.b";"F";"DCF";"commercial fisheries";"Samples usually from commercial fisheries but can include samples from non-representative catches (i.e. qual series provide all avbailable quality data, DCF series provide all data considered representative for catches which may include all or parts of qual data).";"";"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_QUAL_cd_F_Y";"DE_Elbe";"2011";"27.4.b";"F";"DCF";"commercial fisheries";"Samples usually from commercial fisheries but can include samples from non-representative catches (i.e. qual series provide all avbailable quality data, DCF series provide all data considered representative for catches which may include all or parts of qual data).";"";"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
